benefit,category,company address,company district,company id,company name,company province,description,level,name,requirement,salary,type,contact email,contact name,contact phone,work place
"	Thu nhập hấp dẫn.
	Được đào tạo để nâng cao năng lực và nghiệp vụ.
	Môi trường làm việc năng động, hiện đại.
	Có cơ hội thăng tiến
	Được hưởng đầy đủ chế độ lao động theo Quy định nhà nước.
	Và các đãi ngộ khác của công ty như nghỉ mát, khám sức khỏe.....",Hành chánh/Thư ký,"273 Kim Mã, Ba Đình, Hà Nội      ",Quận Ba Đình,5386950a76656e179c680000,TNHH Thành Phú,Hà Nội,"- Nội dung công việc: Giải đáp, tư vấn, hỗ trợ chăm sóc khách hàng qua điện thoại, email và trực tiếp.",Nhân viên,Nhân viên chăm sóc khách hàng,"Số năm kinh nghiệm:	Chưa có kinh nghiệm
Yêu cầu bằng cấp:	Cao đẳng
Yêu cầu giới tính:	Không yêu cầu
Yêu cầu độ tuổi:	Không yêu cầu
Yêu cầu khác:	- Đã tốt nghiệp hoặc đang học tại các trường trung cấp,cao đẳng, đại học, sinh viên năm thứ 2 trở lên.
- Giọng nói rõ ràng, dễ nghe, phát âm chuẩn (không nói ngọng, không nói giọng địa phương)
- Hoạt bát, có khả năng giao tiếp tiếp, biết sử dụng vi tính văn phòng.
- Ưu tiên kinh nghiệm từng làm điện thoại viên.  ",5000.000-7000.000,Toàn thời gian,tuyendung.office24h@gmail.com,,,Hà Nội
"- Được tham gia bảo hiểm đầy đủ
- Cơ hội thăng tiến và làm việc trong môi trường chuyên nghiệp và năng động.
- Hưởng mức thu nhập hấp dẫn và cạnh tranh
- Cơ hôi nâng cao trình độ chuyên môn nghiệp vụ và phát huy tiềm năng của mỗi cá nhân","Hàng tiêu dùng,Thực phẩm",92 Võ Thi Sáu - P.Tân Định,Quận 1,5386950a76656e179c6a0000,Công ty TNHH Đầu Tư Thương Mại Khương & Lê,Hồ Chí Minh,"- Tư vấn và bán hàng cho khách
- Giới thiệu đến khách hàng các sản phẩm của công ty
- Chăm sóc, hỗ trợ khách hàng.
- Làm việc theo ca/ Đổi ca.
- Chi tiết công việc sẽ được trao đổi cụ thể trong quá trình phỏng vấn",Nhân viên,Nhân viên bán hàng Mỹ Phẩm Cao Cấp làm việc tại hệ thống Menard Shop,"- Nữ, từ 18 – 25 tuổi, Tốt nghiệp PTTH, TC, CĐ, ĐH
- Ngoại hình khá, da đẹp, giọng nói chuẩn, giao tiếp tốt
- Ưu tiên đã có kinh nghiệm bán hàng mỹ phẩm, ĐTDĐ, thời trang
- Yêu thích mỹ phẩm cao cấp, thích công việc tư vấn bán hàng tại
showroom.
*Không nhận những ứng viên đang đi học.",4.000.000 - 6.000.000,Làm theo ca,thuy.nguyenphuong@vmt.vn,,,Hồ Chí Minh
"- Competitive and negotiable salary

- All insurances according to Vietnamese Labor law.

- Participate in all company events

- Get bonus/salary raises by work performance",IT-Phần mềm,"Lầu 6, TS Tower, số 17 đường số 2, Cư xá Đô Thành, P4, Quận 3",Quận 3,5386950976656e179c000000,Công ty TNHH ZIGExN VeNtura,Hồ Chí Minh,"- Designing user-friendly and professional web pages that catch the latest web design trends

- Coordinates with marketing and enigneering members

※This is one of the our services ⇒ http://jobbox.vn

we are waiting for a good designer to improve the site.",Nhân viên,Web Designer (Chuyên Viên Thiết Kế Web),"* EDUCATION

- Degrees in Web Design and/or Graphic Design

- At least 1 year experience as a web designer

* TECHNICAL EXPERIENCES

- Experience with Photoshop, Illustrator

- Experience with XAML, XML, HTML5, CSS3, Javascript, jQuery

- Have experience and understanding of site architecture, user experience, color theory and color management on the web.

* LANGUAGE SKILLS

- Fluent in English / Japanese is definitely a plus.

* CHARACTERISTICS/ SOFT-SKILLS

- Honest, straight-forward

- Passionate and enthusiastic in designing

- High responsibility, hard-working

- Problem-solving skills",6000000 - 15000000,Toàn thời gian,webmaster@zigexn.vn,,,Hồ Chí Minh
"- Mức lương cạnh tranh và có thể thương lượng

- Tham gia các hoạt động của công ty, các hoạt động đào tạo để nâng cao khả năng",Xuất nhập khẩu,"Lầu 6, TS Tower, số 17 đường số 2, Cư xá Đô Thành, P4, Quận 3",Quận 3,5386950976656e179c000000,Công ty TNHH ZIGExN VeNtura,Hồ Chí Minh,"- Dịch các tài liệu, yêu cầu từ tiếng Nhật sang tiếng Việt, giải thích cho các thành viên trong nhóm.
- Giao tiếp, trao đổi với khách hàng Nhật qua chat, Skype, email
- Báo cáo tình hình cho Quản lí dự án",Nhân viên,Japanese Communicator - Thông Dịch Viên Tiếng Nhật,"** TRÌNH ĐỘ HỌC VẤN

- Tốt nghiệp Cao đẳng/Đại học trờ lên

- Ứng viên có kinh nghiêm sẽ được ưu tiên, tuy nhiên sinh viên mới tốt nghiệp cũng có thể nộp đơn ứng tuyển

** KHẢ NĂNG

- Có khả năng sử dụng tiếng Nhật thành thạo (nghe, nói, đọc viết). Bằng cấp tiếng Nhật tối thiểu phải là 2-kyu/N2 trở lên.

- Có kinh nghiệm học tập, làm việc ở Nhật bản là 1 lợi thế lớn

- Có kiến thức cơ bản trong việc sử dụng bộ ứng dụng văn phòng Office (Word, Excel, Powerpoint)

- Có kiến thức cơ bản về Internet, IT

- Sử dụng tốt tiếng Anh là 1 lợi thế

** TÍNH CÁCH/KỸ NĂNG MỀM

- Thành thực, hoà đồng

- Ham thích học hỏi những cái mới

- Khả năng giao tiếp tốt

- Có trách nhiệm với công việc",Lương cạnh tranh,Toàn thời gian,webmaster@zigexn.vn,,,Hồ Chí Minh
"- Competitive and negotiable salary

- All insurances according to Vietnamese Labor law

- Participate in all company events

- Get bonus/salary raises by work performance

- Attractive working environment",IT-Phần mềm,"Lầu 6, TS Tower, số 17 đường số 2, Cư xá Đô Thành, P4, Quận 3",Quận 3,5386950976656e179c000000,Công ty TNHH ZIGExN VeNtura,Hồ Chí Minh,"- Analyze system requirements/specification

- Design, develop and test web applications

- Estimate and organize development schedule

- Coordinate with Project Manager and Bridge SE to resolve issues

- Write technical documentation

- Lead, support team members to resolve technical issues",Nhân viên,Web Development Team Leader - Trưởng Nhóm Phát Triển Web,"** EDUCATION

- Graduated from College/ University specialized in Information Technology

- At least 5 years experience as a Web developer in which 2 years as a Technical Team Leader or equivalent

** TECHNICAL EXPERIENCES

- Familiar with Ruby/PHP/Python/Java programing languages

- Familiar with Javascript framework (JQuery, Prototype) , HTML/CSS (Bootstrap, etc.)

- Experienced in MVC framework (Symfony, CodeIgniter, CakePHP, Zend, Ruby on Rails, Django, Struts, Spring)

- Familiar with Database design (MySQL, PostgreSQL, NoSQL DB - MongoDB, CouchDB)

- Have experience working and administering with Linux system (Centos, Ubuntu) is a must

- Have experience working with version control system such as SVN, Git

- Have experience in building large-scale Web application using one of the following technology is a huge plus. Key-value store engine (Redis), caching system (Memcache), indexing engines such as Apache Solr, Sphinx, Elastic Search etc.

** LANGUAGE SKILLS

- Good at English (reading/writing/speaking) is a huge plus

- Knowing Japanese is definitely a plus

** CHARACTERISTICS/SOFT-SKILLS

- Honest, straight-forward

- Passionate and enthusiastic in technology

- Ability to quickly learn new languages/technology

- High responsibility, hardworking

- Problem-solving skill",Lương cạnh tranh,Toàn thời gian,webmaster@zigexn.vn,,,Hồ Chí Minh
"- Competitive and negotiable salary
- All insurances according to Vietnamese Labor law
- Participate in all company events
- Get bonus/salary raises by work performance
- Attractive working environment","Hàng tiêu dùng,Thực phẩm","Lầu 6, TS Tower, số 17 đường số 2, Cư xá Đô Thành, P4, Quận 3",Quận 3,5386950976656e179c000000,Công ty TNHH ZIGExN VeNtura,Hồ Chí Minh,"** MAIN RESPONSIBILITIES
- Be responsible for company's services sales operation
- Analyze customer's requirement, create sales plan
- Make a proposal, present and persuade customers
- Support existing customers and find new channel for sales
- Tracking KPIs, evaluate effectiveness of sales strategy and make report",Nhân viên,"Senior Sales Staff (It, Internet Services)","** EDUCATION

- Graduated from College/ University (preferably in Business Administation, Economics or Information Technology)
- At least 2 years experience as a Sales specialist (preferably in IT/Internet services)

** EXPERIENCE

- Having experience in Sales operation
- Having good achievements in Sales in the past
- Good skills at using Microsoft Office
- Have broad knowledge about Vietnamese Internet services and market

** LANGUAGE SKILLS
- Good at English (reading/writing/speaking) is a huge plus
- Knowing Japanese is definitely a plus

** CHARACTERISTICS/SOFT-SKILLS
- Good skills of analysis, communication and presentation.
- Honest, straight-forward
- High responsibility, hardworking
- Problem-solving skill",Lương cạnh tranh,Toàn thời gian,webmaster@zigexn.vn,,,Hồ Chí Minh
"Salary upto 100,000 VND/hr.
Fulltime: 6,000,000+.
Competitive and negotiable salary.
All insurances according to Vietnamese Labor law.
Participate in all company events.
Get bonus/salary raises by work performance.",IT-Phần mềm,"Lầu 6, TS Tower, số 17 đường số 2, Cư xá Đô Thành, P4, Quận 3",Quận 3,5386950976656e179c000000,Công ty TNHH ZIGExN VeNtura,Hồ Chí Minh,"Analyze system requirements/specification.
Design, develop and test web application.
Coordinate with Project Manager and Bridge SE to resolve issues.
Write technical documentation.
Support team members to resolve technical issues.",Nhân viên,Tuyển Sinh Viên Lập Trình Viên Có Thể Giao Tiếp Tiếng Nhật,"EDUCATION
Graduated from College/University specialized in Information Technology.
TECHNICAL EXPERIENCES
Familiar with PHP/Java/Ruby programing languages.
Familiar with Javascript/HTML/CSS.
Familiar with OOP methodology.
Experienced in Web services protocol such as HTTP, REST, SOAP.
Experienced in MVC framework (Symfony, CodeIgniter, CakePHP, Zend, Struts, Spring, Hibernate, Ruby on Rails).
Familiar with Database design (MySQL, PostgreSQL, NoSQL DB).
Have experience working with Linux system (Centos, Ubuntu).
Have basic knowledge about software testing.
Have experience working with version control system such as SVN, Git.
Have experience in key-value store engine (Redis), back-end index engines such as Sphinx, Solr is a huge plus.
LANGUAGE SKILLS
Good at English (reading/writing/speaking) is a huge plus.
Knowing Japanese is definitely a plus.
CHARACTERISTICS/SOFT-SKILLS
Honest, straight-forward.
Passionate and enthusiastic in technology.
Ability to quickly learn new languages/technology.
High responsibility, hardworking.
Problem-solving skill.
Have experience as a team-lead experience is a huge plus.",thỏa-thuận,Toàn thời gian,webmaster@zigexn.vn,,,Hồ Chí Minh
"    Mức lương cạnh tranh và có thể thương lượng.
    Tham gia các hoạt động của công ty, các hoạt động đào tạo để nâng cao khả năng.
    Được xét tăng lương, thăng tiến theo năng lực thực tế.",Hành chánh/Thư ký,"Lầu 6, TS Tower, số 17 đường số 2, Cư xá Đô Thành, P4, Quận 3",Quận 3,5386950976656e179c000000,Công ty TNHH ZIGExN VeNtura,Hồ Chí Minh,"    Thực hiện các nhiệm vụ cơ bản của kế toán.
    Báo cáo thuế, báo cáo tài chính hàng tháng.
    Quản lý chứng từ, sổ sách hóa đơn.
....
Chi tiết trao đổi cụ thể trong buổi phỏng vấn.",Nhân viên,Nhân Viên Kế Toán Biết Tiếng Nhật,"    YÊU CẦU:
        Tốt nghiệp Đại học hệ 4 năm.
    KHẢ NĂNG:
        Có kinh nghiệm kế toán doanh nghiệp trên 2 năm.
        Hiểu biết về hệ thống kế toán Việt Nam; am hiểu luật, các quy định liên quan đến công ty nước ngoài.
        Có khả năng sử dụng tiếng Nhật thành thạo (nghe, nói, đọc, viết). Bằng cấp tối thiểu phải là 3-kyu/N3 trở lên. (Ưu tiên N2).
        Có thể giao tiếp tiếng Anh (Có thể  hạn chế khả năng nói nhưng yêu cầu đọc viết tốt).
        Có kiến thức cơ bản trong việc sử dụng bộ ứng dụng văn phòng Office (Word, Excel, Powerpoint).
        Ưu tiên từng làm việc trong công ty phần mềm của Nhật.
    TÍNH CÁCH/KỸ NĂNG MỀM
    Trung thực, hòa đồng.
    Ham thích học hỏi những cái mới.
    Cẩn trọng và có trách nhiệm với công việc.
    Xác định làm việc lâu dài gắn bó với công ty.",Lương cạnh tranh,Toàn thời gian,webmaster@zigexn.vn,,,Hồ Chí Minh
"- Được làm việc tại một công ty năng động, nhiều ý tưởng, nhiều cơ hội phát triển năng lực cá nhân
- Được tham gia các khoá đào tạo chuyên môn của công ty
- Chính sách BHYT, BHXH và các phúc lợi khác theo quy định của Luật Lao động ",Kinh doanh,"24 Trương Quốc Dung, Phường 8",Quận Phú Nhuận,5386950a76656e179c780000,Công ty CP Truyền thông Hạnh Phúc,Hồ Chí Minh,"- Viết, biên tập tin bài cho Cổng thông tin sức khỏe AloBacsi.vn
- Làm việc với các bác sĩ",Nhân viên,Biên tập viên trang tin sức khỏe AloBacsi.vn,"- Kỹ năng ngôn ngữ, biên tập tốt
- Có khả năng viết bài và đưa tin
- Chịu được áp lực công việc cường độ cao
- Ưu tiên ứng viên am hiểu, yêu thích lĩnh vực thông tin sức khỏe, y khoa ","Trên 4,000,000 - 5,000,000 VNĐ",Toàn thời gian,alobacsi@gmail.com,,,Hồ Chí Minh
"- Được làm việc tại một công ty năng động, nhiều ý tưởng, nhiều cơ hội phát triển năng lực cá nhân
- Được tham gia các khoá đào tạo chuyên môn của công ty
- Chính sách BHYT, BHXH và các phúc lợi khác theo quy định của Luật Lao động ","Hàng tiêu dùng,Thực phẩm","24 Trương Quốc Dung, Phường 8",Quận Phú Nhuận,5386950a76656e179c780000,Công ty CP Truyền thông Hạnh Phúc,Hồ Chí Minh,"- Tìm kiếm khách hàng và đối tác trong mảng Y tế, Dược phẩm, các nhãn hàng liên quan đến sức khỏe
- Tư vấn, thuyết phục khách hàng về các hình thức dịch vụ của công ty
- Xây dựng và duy trì quan hệ với khách hàng
- Phối hợp với các bộ phận chức năng đảm bảo chất lượng dịch vụ cao nhất, mang lại hiệu quả tốt nhất cho khách hàng ",Nhân viên,Nhân viên Kinh doanh cho trang AloBacsi.vn,"- Có tối thiểu 1 năm kinh nghiệm trong ngành quảng cáo
- Có khả năng lập kế hoạch kinh doanh
- Có khả năng làm việc độc lập và làm việc nhóm tốt
- Nhanh nhẹn, giao tiếp giỏi, kiên trì, biết đàm phán
- Kinh nghiệm trong ngành bán quảng cáo (online, báo giấy) là một lợi thế lớn","Trên 5,000,000 VNĐ",Toàn thời gian,alobacsi@gmail.com,,,Hồ Chí Minh
"- Lương+ thưởng
- Được làm trong môi trường thân thiện, chuyên nghiệp.
- Sau một năm làm việc sẽ được hưởng tất cả các chế độ bảo hiểm theo quy định nhà nước
- Công ty bao ăn trưa",Xuất nhập khẩu,"34 Út Tịch, Phường 4",Quận Tân Bình,5386950a76656e179c7b0000,CÔNG TY TNHH THƯƠNG MẠI MAI TRÍ VƯƠNG,Hồ Chí Minh,"- Thành thạo Book vé quốc tế trên hệ thống Amadeus (1A)
- Book và xuất được quốc nội- quốc tế trên hệ thống Sabre
- Book web như: Jetstar, Vietjet Air.
- Nghe và nói Tiếng Anh",Nhân viên,Nhân viên Book vé,"-Book và xuất vé thành thạo các hệ thống Sabre, Amadeus
-Có trách nhiệm với công việc, trung thực và chấp hành nội qui công ty.",Thỏa thuận,Toàn thời gian,phongvemt@yahoo.com,,,Hồ Chí Minh
Theo quy định của Luật lao động,Xuất nhập khẩu,"58 Huỳnh Mẫn Đạt, P19",Quận Bình Thạnh,5386950a76656e179c7d0000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"1. Thực hiện công việc theo sự phân công của trưởng phòng Kinh Doanh và Ban Tổng Giám Đốc công ty.
2. Xây dựng kế hoạch phát triển kinh doanh hàng tháng, quý, năm và chịu trách nhiệm trước Ban lãnh đạo về việc thực thi để đạt chỉ tiêu kế hoạch.
3. Chịu trách nhiệm đáp ứng các nhu cầu của khách hàng đồng thời duy trì mối quan hệ với các đại lý. Tổ chức các hoạt động chinh phục khách hàng, chăm sóc khách hàng.
4. Soạn thảo và cung cấp cho khách hàng những thuyết trình mang tính hiệu quả cao.
5. Đáp ứng thời gian deadline cho các nhiệm vụ được giao.
6. Trực tiếp làm việc với các phòng ban có liên quan để thực hiện hợp đồng, theo dõi tiến độ thực hiện, thanh lý hợp đồng.
7. Phối hợp với bộ phận Nhân sự trong Phân tích công việc, đánh giá năng lực nhân viên, phân tích nhu cầu đào tạo và phát triển nhân viên.",Nhân viên,Nhân viên Kinh Doanh,"1. Tốt nghiệp Đại học chuyên ngành kinh tế, ngoại thương
2. Tiếng Anh: thành thạo 4 kỹ năng
3. Kiến thức chuyên ngành quảng cáo- truyền thông, marketing, sales
4. Kiến thức Quản trị kinh doanh
5. Sử dụng thành thạo các phần mềm: Microsoft Word, Excel, Power Point, Internet
6. Khả năng lập hợp đồng kinh tế, soạn thảo văn bản tốt
7. Có khả năng ngoại giao, khai thác và chinh phục khách hàng tốt
8. Khả năng làm việc độc lập và tập thể tốt
9. Khả năng phân tích và tổng hợp thông tin tốt
10.Có kinh nghiệm trong lĩnh vực Quảng cáo, Truyền thông, Sales, Marketing
11. Ham thích kinh doanh, thích trở thành doanh nhân
12. Thẳng thắn, cẩn trọng, bản lĩnh, quyết đoán, tác phong nhanh nhẹn, hướng ngoại
",Thương lượng,Toàn thời gian,quynhphuong@styletv.vn,,,Hồ Chí Minh
Đầy đủ theo quy định của nhà nước,Kinh doanh,"58 Huỳnh Mẫn Đạt, P19",Quận Bình Thạnh,5386950a76656e179c7d0000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"1. Thực hiện việc xây dựng và phát triển nội dung các chương trình, game shows, bản tin truyền hình do phòng/nhóm mình phụ trách
2. Chịu trách nhiệm việc đảm bảo các chương trình lên sóng đúng lịch phát sóng
3. Tiếp nhận yêu cầu của chương trình, của đối tác, cùng đồng nghiệp lên ý tưởng thực hiện, giám sát việc triển khai tổ chức sản xuất
4. Khai thác các chương trình bản quyền, format của nước ngoài để cùng với đồng nghiệp nghiên cứu, việt hóa thành kịch bản chương trình của công ty cho phù hợp với tiêu chí của kênh
5. Khai thác thông tin, chương trình truyền hình quốc tế, dịch và biên tập lại nội dung thành chương trình truyền hình của công ty
6. Phối hợp, hỗ trợ cùng bộ phận kinh doanh để thực hiện hợp đồng quảng cáo, tài trợ cho các chương trình phát sóng
7. Thực hiện các công việc khác theo sự chỉ đạo của người quản lý",Nhân viên,Biên tập viên kiêm MC,"- Tốt nghiệp các trường kinh tế, ngoại thương, ngoại ngữ, ngoại giao, khoa học xã hội và nhân văn, sân khấu điện ảnh, báo chí.
- Có kiến thức chuyên ngành báo chí, truyền hình
Có kinh nghiệm trong lĩnh vực truyền thông, truyền hình.
- Có kinh nghiệm trong việc viết bài, biên tập nội dung kịch bản, tổ chức sản xuất chương trình truyền hình.
- Tiếng anh thành thạo 4 kỹ năng.
- Trung thực, cẩn trọng, năng động, tác phong chuyên nghiệp.
- Khả năng tư duy sáng tạo, ngôn ngữ tiếng việt giỏi.
- Chịu được áp lực công việc, có khả năng làm việc độc lập và phối hợp nhóm
- Khả năng phân tích và tổng hợp thông tin tốt.
- Có kỹ năng giao tiếp và thuyết trình tốt
- Có ngoại hình, gu thời trang style, cao ráo, xinh xắn, giọng nói hay và chuẩn.",Thỏa thuận,Toàn thời gian,quynhphuong@styletv.vn,,,Hồ Chí Minh
Theo Quy định luật Lao động,Kinh doanh,"58 Huỳnh Mẫn Đạt, P19",Quận Bình Thạnh,5386950a76656e179c7d0000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"1. Thực hiện công việc theo sự phân công của Giám đốc khách hàng và Ban Giám Đốc công ty
2. Xây dựng kế hoạch phát triển kinh doanh hàng năm và chịu trách nhiệm trước Ban lãnh đạo về việc thực thi để đạt chỉ tiêu kế hoạch.
3. Chịu trách nhiệm đáp ứng các nhu cầu của khách hàng đồng thời duy trì mối quan hệ với các đại lý. Tổ chức các hoạt động chinh phục khách hàng, chăm sóc khách hàng.
4. Phụ trách phân bổ công việc cho các nhân viên trong bộ phận mình.
5. Soạn thảo và cung cấp cho khách hàng những thuyết trình mang tính hiệu quả cao.
6. Đáp ứng thời gian deadline cho các nhiệm vụ được giao.
7. Trực tiếp và hướng dẫn nhân viên làm việc với các phòng ban có liên quan để thực hiện hợp đồng, theo dõi tiến độ thực hiện, thanh lý hợp đồng.
8. Phối hợp với bộ phận Nhân sự trong Phân tích công việc, đánh giá năng lực nhân viên, phân tích nhu cầu đào tạo và phát triển nhân viên",Nhân viên,Trưởng nhóm Kinh Doanh,"1. Tốt nghiệp Đại học chuyên ngành kinh tế, ngoại thương
2. Tiếng Anh: thành thạo 4 kỹ năng
3. Kiến thức chuyên ngành quảng cáo- truyền thông, marketing, sales
4. Kiến thức Quản trị kinh doanh
5. Sử dụng thành thạo các phần mềm: Microsoft Word, Excel, Power Point, Internet
6. Khả năng lập hợp đồng kinh tế, soạn thảo văn bản tốt
7. Có khả năng ngoại giao, khai thác và chinh phục khách hàng tốt
8. Khả năng làm việc độc lập và tập thể tốt
9. Khả năng phân tích và tổng hợp thông tin tốt
10. Có kinh nghiệm trong lĩnh vực Quảng cáo, Truyền thông, Sales, Marketing
11. Ham thích kinh doanh, thích trở thành doanh nhân
12. Thẳng thắn, cẩn trọng, bản lĩnh, quyết đóan, tác phong nhanh nhẹn, hướng ngoại
13. Khả năng tổ chức, lãnh đạo, quản lý, giám sát, đào tạo và phát triển đội ngũ",Thỏa thuận,Toàn thời gian,quynhphuong@styletv.vn,,,Hồ Chí Minh
Đầy đủ theo quy định của nhà nước,Kinh doanh,"58 Huỳnh Mẫn Đạt, P19",Quận Bình Thạnh,5386950a76656e179c7d0000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"1. Liên hệ và đề xuất đạo diễn, MC, nhân vật cho chương trình.
2. Liên hệ và tìm kiếm bối cảnh ghi hình
3. Lên dự toán sản xuất cho các chương trình mới và trình duyệt Ban Giám đốc.
4. Liên hệ và đàm phán với các nhà cung cấp phục vụ việc sản xuất chương trình
5. Thực hiện các công việc hậu cần cho ê-kip sản xuất
6. Thực hiện các công việc khác theo sự chỉ đạo của trưởng phòng Sản xuất/ Ban Tổng Giám Đốc",Nhân viên,Producer,"1. Tốt nghiệp Đại học chuyên ngành kinh tế, ngoại thương
2. Tiếng Anh: thành thạo 4 kỹ năng
3. Kiến thức chuyên ngành quảng cáo- truyền thông
4. Sử dụng thành thạo các phần mềm: Microsoft Word, Excel, Power Point, Internet
5. Khả năng lập hợp đồng kinh tế, soạn thảo văn bản tốt
6. Có khả năng ngoại giao, đàm phán với các nhà cung cấp
7. Khả năng làm việc độc lập và tập thể tốt
8. Khả năng phân tích và tổng hợp thông tin tốt
9. Có kinh nghiệm trong lĩnh vực Quảng cáo, Truyền thông, Sales, Marketing
10. Thẳng thắn, cẩn trọng, bản lĩnh, quyết đóan, tác phong nhanh nhẹn, hướng ngoại
11. Khả năng tổ chức, lãnh đạo, quản lý, giám sát, đào tạo và phát triển đội ngũ",Thỏa thuận,Toàn thời gian,quynhphuong@styletv.vn,,,Hồ Chí Minh
Theo Quy định luật Lao động,Xuất nhập khẩu,"58 Huỳnh Mẫn Đạt, P19",Quận Bình Thạnh,5386950a76656e179c7d0000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"1. Thực hiện công việc theo sự phân công của Giám đốc khách hàng và Ban Giám Đốc công ty.
2. Xây dựng kế hoạch phát triển kinh doanh hàng năm và chịu trách nhiệm trước Ban lãnh đạo về việc thực thi để đạt chỉ tiêu kế hoạch.
3. Chịu trách nhiệm đáp ứng các nhu cầu của khách hàng đồng thời duy trì mối quan hệ với các đại lý. Tổ chức các hoạt động chinh phục khách hàng, chăm sóc khách hàng.
4. Phụ trách phân bổ công việc cho các nhân viên trong bộ phận mình.
5. Soạn thảo và cung cấp cho khách hàng những thuyết trình mang tính hiệu quả cao.
6. Đáp ứng thời gian deadline cho các nhiệm vụ được giao.
7. Trực tiếp và hướng dẫn nhân viên làm việc với các phòng ban có liên quan để thực hiện hợp đồng, theo dõi tiến độ thực hiện, thanh lý hợp đồng.
8. Phối hợp với bộ phận Nhân sự trong Phân tích công việc, đánh giá năng lực nhân viên, phân tích nhu cầu đào tạo và phát triển nhân viên.
",Nhân viên,Trưởng nhóm Kinh Doanh,"1. Tốt nghiệp Đại học chuyên ngành kinh tế, ngoại thương
2. Tiếng Anh: thành thạo 4 kỹ năng
3. Kiến thức chuyên ngành quảng cáo- truyền thông, marketing, sales
4. Kiến thức Quản trị kinh doanh
5. Sử dụng thành thạo các phần mềm:  Microsoft Word, Excel, Power Point, Internet
6. Khả năng lập hợp đồng kinh tế, soạn thảo văn bản tốt
7. Có khả năng ngoại giao, khai thác và chinh phục khách hàng tốt
8. Khả năng làm việc độc lập và tập thể tốt
9. Khả năng phân tích và tổng hợp thông tin tốt
10. Có kinh nghiệm trong lĩnh vực Quảng cáo, Truyền thông, Sales, Marketing
11. Ham thích kinh doanh, thích trở thành doanh nhân
12. Thẳng thắn, cẩn trọng, bản lĩnh, quyết đoán, tác phong nhanh nhẹn, hướng ngoại
13. Khả năng tổ chức, lãnh đạo, quản lý, giám sát, đào tạo và phát triển đội ngũ",Thương lượng,Toàn thời gian,quynhphuong@styletv.vn,,,Hồ Chí Minh
"- BHXH, YT, TN theo đúng quy định
- Môi trường làm việc năng động, chuyên nghiệp, nhiều cơ hội thăng tiến.",Xuất nhập khẩu,"Số 7-9, Đường số 22, KDC Him Lam, Bình Hưng",Huyện Bình Chánh,5386950a76656e179c830000,Công ty TNHH Dược phẩm Cẩm Tú,Hồ Chí Minh,"- Thiết kế các vật phẩm quảng cáo
- Thiết kế các bao bì sản phẩm
- Thiết kế các vật phẩm vật dụng liên quan hội chợ, sự kiện hội nghị, hội thảo…",Nhân viên,Nhân viên thiết kế,"- Sử dụng thành thạo các phần mềm thiết kế đồ họa
- Có kinh nghiệm thiết kế bao bì và các vật phẩm quảng cáo...",Thỏa thuận,Toàn thời gian,ngocthuy.nguyen@glomedvn.com,,,Hồ Chí Minh
"- Nhiều cơ hội thăng tiến.
- Các chính sách chế độ BHXH, BHTN, BHYT đầy đủ theo quy định.","Hàng tiêu dùng,Thực phẩm","Số 7-9, Đường số 22, KDC Him Lam, Bình Hưng",Huyện Bình Chánh,5386950a76656e179c830000,Công ty TNHH Dược phẩm Cẩm Tú,Hồ Chí Minh,"• Develop and execute marketing plan to support attainment of sales and market share objective.
• Implement the brands marketing programs, monitor and evaluate the promotion activity results against planned objectives.
• Prepare and manage new product launch.
• Monitor and manage advertising and promotion spending for assigned brands.
• Building close relationship with key opinion leader, Medical Associations and key target customers.
• Provide training for medical representative for the assigned products",Nhân viên,Brand Manager (Quản lý nhãn hàng),"• University graduate (in marketing)/ MBA degree holders will have an advantage.
• Fluent in spoken and written English
• Communication skill.
• Negotiation skill
• Interpersonal skill
• At least 3 years work experience in the same position
• Computer literacy and knowledge of window - bases software",Thỏa thuận,Toàn thời gian,ngocthuy.nguyen@glomedvn.com,,,Hồ Chí Minh
"- Nhiều cơ hội thăng tiến.
- Các chính sách chế độ BHXH, BHTN, BHYT đầy đủ theo quy định.","Hàng tiêu dùng,Thực phẩm","Số 7-9, Đường số 22, KDC Him Lam, Bình Hưng",Huyện Bình Chánh,5386950a76656e179c830000,Công ty TNHH Dược phẩm Cẩm Tú,Hồ Chí Minh,"• Develop and execute marketing plan to support attainment of sales and market share objective.
• Implement the brands marketing programs, monitor and evaluate the promotion activity results against planned objectives.
• Prepare and manage new product launch.
• Monitor and manage advertising and promotion spending for assigned brands.
• Building close relationship with key opinion leader, Medical Associations and key target customers.
• Provide training for medical representative for the assigned products",Nhân viên,Brand Manager (Quản lý nhãn hàng),"• University graduate (in marketing)/ MBA degree holders will have an advantage.
• Fluent in spoken and written English
• Communication skill.
• Negotiation skill
• Interpersonal skill
• At least 3 years work experience in the same position
• Computer literacy and knowledge of window - bases software",Thỏa thuận,Toàn thời gian,ngocthuy.nguyen@glomedvn.com,,,Hồ Chí Minh
